select * from headword_exs where Trs regexp '.+\)。\S.*';
WdID	PoSID	MnID	col_Order	Wd	Wd2	exid	Ex	IPA	Trs
491	0	0	494	アキルトゥアーシ	ア⸢キルトゥアー⸣シ	1	⸢ユー⸣ヌ　ア⸢キルトゥアー⸣シ　⸣ンジ　⸢パッ⸣タ	[⸢juː⸣nu ʔa⸢kirutuʔaː⸣ʃi ⸣ʔnʤi ⸢pat⸣ta]	(夜明けとともに出て行った)。⸢ユー⸣ヌ　ガ⸢ルトゥアー⸣シ　パ⸢タ⸣ケー　⸢パッ⸣タ[⸢juː⸣nu ga⸢rutuʔaː⸣ʃi pḁ⸢ta⸣keː ⸢pat⸣ta](夜明けとともに畑へ行った)ともいう
342	0	0	539	アザカイ	ア⸢ザ⸣カイ	1	ウ⸢ブアザカイ⸣ヤ　⸢オー⸣ヌ　⸢イーッふァーシ⸣ムヌ　⸢ソーッ⸣タン	[ʔu⸢buʔaʣakai⸣ja ⸢ʔoː⸣nu ⸢ʔiːffaːʃi⸣munu ⸢soːt⸣taŋ]	(大きなシャコガイの貝殻<アザカイ>は豚の飼葉桶に使われた<された>)。大型の貝殻はミ⸢ジクブ⸣サー[mi⸢ʤikubu⸣saː](手水鉢{EOS}「水こぼし」の義か{EOS}下着洗い)や豚舎のかいばおけ<飼葉桶>に利用された。
630	0	0	565	アサパナ	ア⸢サ⸣パナ	1	ア⸢サ⸣パナーラ　⸣ウキティ　パ⸢タ⸣ケー　⸢パッ⸣タ	[ʔa⸢sa⸣panaːra ⸣ʔukiti pḁ⸢ta⸣keː ⸢pat⸣ta]	(早朝から起きて畑へ行った)。「朝端(あさはな)」の義。
630	0	0	565	アサパナ	ア⸢サ⸣パナ	2	シ⸢トゥム⸣ティ　ア⸢サ⸣パナーラ　⸣ウキティ　シ⸢ガケー⸣ティ　⸢アー⸣ク	[ʃi̥⸢tumu⸣ti ʔa⸢sa⸣panaːra ⸣ʔukiti ʃi⸢gakeː⸣ti ⸢ʔaː⸣ku]	(早朝から起きて人に先んじて仕事に励んでいる)。「ショングヮヂゥヌ　シゥトゥムディ　アラトゥシゥヌ　アサパナ(正月の早旦、新年の朝端)」(鷲の鳥節)と古謡に歌われている『宮良当壮全集　12』
619	0	0	589	アサボン	ア⸢サ⸣ボン	1	ア⸢サ⸣ボン　ッ⸢ふァイティ⸣　マー⸢ズン⸣　パ⸢タ⸣ケー　パラ⸢ナー	[ʔa⸢sa⸣boŋ f⸢faiti⸣ maː⸢ʣum⸣ pḁ⸢ta⸣keː para⸢naː]	(朝御飯を食べて、一緒に畑へ行こうね)。ア⸢サ⸣ンボン[ʔa⸢sa⸣ʔmboŋ](朝ご飯)の縮約形。「おぼのがなし　食事の敬語」『混効験集』、とある。
687	0	0	637	アシカカー	⸣アシカカー	1	ウ⸢レー　サッ⸣コー　⸣アシカカー　ヤ⸢ルンダ⸣　ス⸢バ⸣ナー　ブ⸢ララヌ	[ʔu⸢reː sak⸣koː ⸣ʔaʃikakaː ja⸢runda⸣ su⸢ba⸣naː bu⸢raranu]	(あれ<彼>は非常に汗かきだから、側に居れない)。ア⸢シパリ⸣ムヌ[ʔa⸢ʃipari⸣munu](汗かき)と同じ。
729	0	0	661	アシッスル	ア⸢シッス⸣ル	1	ク⸢リ⸣シ　ア⸢シッス⸣ル　⸢シー⸣バ	[ku⸢ri⸣ʃi ʔa⸢ʃissu⸣ru ⸢ʃiː⸣ba]	(これで汗拭きにしなさいよ)。ッ⸢スル[s⸢suru]は、「こする」の転訛したものか。[kosuru]　→　[kusuru]　→　[fusuru]　→　[ssuru]　のように逆行同化したもの
751	0	0	700	アスヌ	ア⸢スヌ	2	ウ⸢レー　ワー⸣　ア⸢ズ　トゥー⸣ル　ア⸢スヌ⸣　バー　ア⸢ズ⸣　ムニン　シ⸢キ⸣バ	[ʔu⸢reː waː⸣ ʔa⸢ʣu tuː⸣ru ʔa⸢sunu⸣ baː ʔa⸢ʣu⸣ muniːŋ ʃi̥⸢ki⸣ba]	(それは君の言う通りだ{EOS}だが、私の言うことも聞けよ)。⸢ターシグ⸣トー　⸢バン⸣ヌン　⸣ナルン。
754	0	0	703	アズン	ア⸢ズン	3	⸢マー⸣ビン　ア⸢ジェー⸣　ミサムヌ	[⸢maː⸣biŋ ʔa⸢ʤeː⸣ misamunu]	(もっと言えばいいのに)。イ⸢ズン[ʔi⸢ʣuŋ](言う{EOS}叱る)ともいう。
759	0	0	707	アタ	ア⸢タ-	4	ア⸢タニチ	[ʔa⸢taniʧi]	(突然の発熱)。⸢アッ⸣タニ[⸢ʔat⸣tani](急に、にわかに)の縮約形。
